,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
102,Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,23,1996,23,22,1976,1,0,0,0,12,1,0.05,0.00,0.05,0.05,0.05,1.5,1.5,0.6,0.07,0.03,0.10,0.07,0.10,Matches
103,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,30,1989,23,18,1657,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.4,1.4,0.9,0.07,0.05,0.12,0.07,0.12,Matches
104,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,28,1991,19,19,1684,3,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.1,0.07,0.00,0.07,0.07,0.07,Matches
105,Hans Hateboer\Hans-Hateboer,nl NED,DF,Atalanta,25,1994,21,17,1590,0,3,0,0,7,0,0.00,0.17,0.17,0.00,0.17,1.2,1.2,3.1,0.07,0.17,0.24,0.07,0.24,Matches
106,Žan Majer\Zan-Majer,si SVN,MF,Lecce,27,1992,20,18,1410,1,1,0,0,6,0,0.06,0.06,0.13,0.06,0.13,1.1,1.1,1.3,0.07,0.08,0.15,0.07,0.15,Matches
107,Karol Linetty\Karol-Linetty,pl POL,MF,Sampdoria,24,1995,17,12,1179,2,3,0,0,4,0,0.15,0.23,0.38,0.15,0.38,0.9,0.9,2.0,0.07,0.15,0.22,0.07,0.22,Matches
108,Cristian Romero\Cristian-Romero,ar ARG,DF,Genoa,21,1998,21,21,1869,0,1,1,1,10,0,0.00,0.05,0.05,-0.05,0.00,2.0,1.2,0.4,0.10,0.02,0.11,0.06,0.08,Matches
109,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,26,1993,22,21,1869,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,1.2,1.2,0.2,0.06,0.01,0.07,0.06,0.07,Matches
110,Juan Cuadrado\Juan-Cuadrado,co COL,DFFW,Juventus,31,1988,23,19,1842,1,2,0,0,4,1,0.05,0.10,0.15,0.05,0.15,1.2,1.2,3.3,0.06,0.16,0.22,0.06,0.22,Matches
111,Lasse Schöne\Lasse-Schone,dk DEN,MF,Genoa,33,1986,22,21,1717,1,2,0,1,4,0,0.05,0.10,0.16,0.05,0.16,1.9,1.1,2.0,0.10,0.11,0.20,0.06,0.16,Matches
112,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,25,1993,21,18,1665,0,3,0,0,4,0,0.00,0.16,0.16,0.00,0.16,1.1,1.1,2.7,0.06,0.15,0.21,0.06,0.21,Matches
113,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,33,1986,20,20,1573,0,2,0,0,6,0,0.00,0.11,0.11,0.00,0.11,1.1,1.1,2.2,0.06,0.13,0.19,0.06,0.19,Matches
114,Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Juventus,32,1987,23,18,1617,0,2,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.0,1.0,1.1,0.06,0.06,0.11,0.06,0.11,Matches
115,Paolo Ghiglione\Paolo-Ghiglione,it ITA,DF,Genoa,22,1997,20,19,1584,0,5,0,0,4,0,0.00,0.28,0.28,0.00,0.28,1.0,1.0,2.0,0.06,0.11,0.17,0.06,0.17,Matches
116,Antonio Candreva\Antonio-Candreva,it ITA,DFMF,Inter,32,1987,20,16,1335,2,5,0,0,5,0,0.13,0.34,0.47,0.13,0.47,0.8,0.8,3.7,0.06,0.25,0.31,0.06,0.31,Matches
117,Ivan Radovanović\Ivan-Radovanovic,rs SRB,MF,Genoa,30,1988,19,15,1318,0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.6,0.06,0.04,0.10,0.06,0.10,Matches
118,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,22,1996,18,15,1294,0,1,0,0,4,1,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.4,0.06,0.03,0.09,0.06,0.09,Matches
119,Marlon\Marlon,br BRA,DF,Sassuolo,23,1995,15,14,1194,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,0.06,0.05,0.11,0.06,0.11,Matches
120,Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,24,1995,26,26,2340,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.05,0.02,0.07,0.05,0.07,Matches
121,Erick Pulgar\Erick-Pulgar,cl CHI,MF,Fiorentina,25,1994,25,23,2086,4,3,4,4,7,0,0.17,0.13,0.30,0.00,0.13,4.2,1.2,4.9,0.18,0.21,0.39,0.05,0.26,Matches
122,Stefan de Vrij\Stefan-de-Vrij,nl NED,DF,Inter,27,1992,23,22,2006,2,3,0,0,3,0,0.09,0.13,0.22,0.09,0.22,1.2,1.2,0.5,0.05,0.02,0.08,0.05,0.08,Matches
123,Armando Izzo\Armando-Izzo,it ITA,DF,Torino,27,1992,23,23,2041,1,0,0,0,6,2,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.6,0.05,0.03,0.08,0.05,0.08,Matches
124,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,22,1996,23,22,1947,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.2,0.05,0.05,0.11,0.05,0.11,Matches
125,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,26,1992,21,21,1890,0,1,0,0,9,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.5,0.05,0.02,0.08,0.05,0.08,Matches
126,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,29,1990,22,21,1780,2,1,0,0,7,0,0.10,0.05,0.15,0.10,0.15,1.1,1.1,1.5,0.05,0.08,0.13,0.05,0.13,Matches
127,Hernani\Hernani,br BRA,MF,Parma,25,1994,23,21,1896,0,3,0,0,9,0,0.00,0.14,0.14,0.00,0.14,1.0,1.0,1.1,0.05,0.05,0.10,0.05,0.10,Matches
128,Nicolas Nkoulou\Nicolas-Nkoulou,cm CMR,DF,Torino,29,1990,19,19,1687,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.05,0.00,0.05,0.05,0.05,Matches
129,Andrea Rispoli\Andrea-Rispoli,it ITA,DF,Lecce,30,1988,20,15,1357,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,0.05,0.07,0.12,0.05,0.12,Matches
130,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,27,1992,16,16,1278,0,2,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,1.1,0.05,0.08,0.12,0.05,0.12,Matches
131,Artur Ioniță\Artur-Ionita,md MDA,MF,Cagliari,28,1990,22,12,1175,0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.7,0.7,0.4,0.05,0.03,0.08,0.05,0.08,Matches
132,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,28,1991,15,14,1216,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,0.05,0.04,0.09,0.05,0.09,Matches
133,Simone Missiroli\Simone-Missiroli,it ITA,MF,SPAL,33,1986,25,24,2133,1,0,0,0,7,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.7,0.04,0.03,0.07,0.04,0.07,Matches
134,Fabio Lucioni\Fabio-Lucioni,it ITA,DF,Lecce,31,1987,25,25,2202,1,0,0,0,6,0,0.04,0.00,0.04,0.04,0.04,1.0,1.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
135,Simone Iacoponi\Simone-Iacoponi,it ITA,DF,Parma,32,1987,25,25,2240,2,0,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.1,0.04,0.00,0.04,0.04,0.04,Matches
136,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Juventus,29,1990,22,20,1735,3,2,0,0,7,0,0.16,0.10,0.26,0.16,0.26,0.8,0.8,1.7,0.04,0.09,0.13,0.04,0.13,Matches
137,Jens Stryger Larsen\Jens-Stryger-Larsen,dk DEN,DF,Udinese,28,1991,22,22,1942,1,2,0,0,2,0,0.05,0.09,0.14,0.05,0.14,0.8,0.8,1.6,0.04,0.08,0.11,0.04,0.11,Matches
138,Sandro Tonali\Sandro-Tonali,it ITA,MF,Brescia,19,2000,23,23,2038,1,5,0,0,6,0,0.04,0.22,0.26,0.04,0.26,0.8,0.8,3.8,0.04,0.17,0.21,0.04,0.21,Matches
139,Pol Lirola\Pol-Lirola,es ESP,DF,Fiorentina,21,1997,23,22,1856,0,2,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,2.2,0.04,0.10,0.14,0.04,0.14,Matches
140,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,37,1981,21,20,1807,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,0.04,0.02,0.06,0.04,0.06,Matches
141,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,20,1998,20,20,1793,0,2,0,0,5,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,0.9,0.04,0.05,0.08,0.04,0.08,Matches
142,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,26,1993,17,17,1513,0,1,0,0,6,1,0.00,0.06,0.06,0.00,0.06,0.7,0.7,0.3,0.04,0.02,0.06,0.04,0.06,Matches
143,Panagiotis Tachtsidis\Panagiotis-Tachtsidis,gr GRE,MF,Lecce,28,1991,19,17,1446,0,1,0,0,6,1,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.1,0.04,0.07,0.11,0.04,0.11,Matches
144,Marco Calderoni\Marco-Calderoni,it ITA,DF,Lecce,30,1989,19,18,1604,3,1,0,0,6,0,0.17,0.06,0.22,0.17,0.22,0.6,0.6,1.4,0.04,0.08,0.12,0.04,0.12,Matches
145,Mário Rui\Mario-Rui,pt POR,DF,Napoli,28,1991,15,13,1206,0,1,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.5,0.5,2.4,0.04,0.18,0.22,0.04,0.22,Matches
146,Tomás Rincón\Tomas-Rincon,ve VEN,MF,Torino,31,1988,21,21,1832,1,2,0,0,7,0,0.05,0.10,0.15,0.05,0.15,0.7,0.7,1.1,0.03,0.05,0.09,0.03,0.09,Matches
147,Nahitan Nández\Nahitan-Nandez,uy URU,MF,Cagliari,23,1995,23,20,1818,1,3,0,0,10,0,0.05,0.15,0.20,0.05,0.20,0.7,0.7,2.3,0.03,0.11,0.15,0.03,0.15,Matches
148,Milan Škriniar\Milan-Skriniar,sk SVK,DF,Inter,24,1995,24,24,2086,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.03,0.01,0.04,0.03,0.04,Matches
149,Dalbert Henrique\Dalbert-Henrique,br BRA,DF,Fiorentina,25,1993,23,22,1964,0,3,0,0,5,1,0.00,0.14,0.14,0.00,0.14,0.7,0.7,3.1,0.03,0.14,0.18,0.03,0.18,Matches
150,Jordan Veretout\Jordan-Veretout,fr FRA,MF,Roma,26,1993,24,22,1914,2,0,2,2,4,0,0.09,0.00,0.09,0.00,0.00,2.1,0.6,1.7,0.10,0.08,0.18,0.03,0.11,Matches
151,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,32,1987,22,21,1694,0,1,0,0,9,1,0.00,0.05,0.05,0.00,0.05,0.6,0.6,2.0,0.03,0.11,0.14,0.03,0.14,Matches
152,Andrea Cistana\Andrea-Cistana,it ITA,DF,Brescia,22,1997,21,21,1838,1,0,0,0,7,1,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.6,0.03,0.03,0.06,0.03,0.06,Matches
153,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,33,1985,22,19,1736,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,0.03,0.03,0.05,0.03,0.05,Matches
154,Luca Pellegrini\Luca-Pellegrini,it ITA,DF,Cagliari,20,1999,20,19,1658,0,4,0,0,9,0,0.00,0.22,0.22,0.00,0.22,0.5,0.5,2.1,0.03,0.12,0.14,0.03,0.14,Matches
155,Mateo Musacchio\Mateo-Musacchio,ar ARG,DF,Milan,28,1990,18,17,1466,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.03,0.04,0.06,0.03,0.06,Matches
156,Nenad Tomović\Nenad-Tomovic,rs SRB,DF,SPAL,31,1987,19,16,1395,0,1,0,0,5,1,0.00,0.06,0.06,0.00,0.06,0.4,0.4,0.4,0.03,0.02,0.05,0.03,0.05,Matches
157,Mato Jajalo\Mato-Jajalo,ba BIH,MF,Udinese,31,1988,20,14,1222,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.03,0.05,0.07,0.03,0.07,Matches
158,Ken Sema\Ken-Sema,se SWE,DF,Udinese,25,1993,22,21,1721,2,0,0,0,4,0,0.10,0.00,0.10,0.10,0.10,0.4,0.4,2.1,0.02,0.11,0.13,0.02,0.13,Matches
159,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,22,1997,19,18,1465,1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,0.4,0.4,0.3,0.02,0.02,0.04,0.02,0.04,Matches
160,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,24,1994,23,21,1874,1,2,0,0,7,0,0.05,0.10,0.14,0.05,0.14,0.4,0.4,2.3,0.02,0.11,0.13,0.02,0.13,Matches
161,Stefano Sabelli\Stefano-Sabelli,it ITA,DF,Brescia,26,1993,26,26,2340,0,2,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,2.4,0.02,0.09,0.11,0.02,0.11,Matches
162,Alex Sandro\Alex-Sandro,br BRA,DF,Juventus,28,1991,22,22,1887,0,3,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,2.1,0.02,0.10,0.12,0.02,0.12,Matches
163,Koray Günter\Koray-Gunter,de GER,DF,Hellas Verona,24,1994,22,21,1858,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.02,0.01,0.03,0.02,0.03,Matches
164,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,29,1989,21,21,1838,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.8,0.02,0.04,0.06,0.02,0.06,Matches
165,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,21,1997,20,18,1620,0,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,0.02,0.05,0.07,0.02,0.07,Matches
166,Thiago Cionek\Thiago-Cionek,pl POL,DF,SPAL,33,1986,20,17,1597,0,1,0,0,9,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,1.0,0.02,0.05,0.08,0.02,0.08,Matches
167,Jacopo Petriccione\Jacopo-Petriccione,it ITA,MF,Lecce,24,1995,20,16,1458,0,4,0,0,7,0,0.00,0.25,0.25,0.00,0.25,0.4,0.4,1.5,0.02,0.09,0.12,0.02,0.12,Matches
168,Bram Nuytinck\Bram-Nuytinck,nl NED,DF,Udinese,29,1990,16,16,1408,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.02,0.05,0.07,0.02,0.07,Matches
169,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,23,1996,20,17,1544,1,0,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.1,0.02,0.00,0.02,0.02,0.02,Matches
170,Luca Cigarini\Luca-Cigarini,it ITA,MF,Cagliari,33,1986,20,18,1497,0,4,0,0,5,0,0.00,0.24,0.24,0.00,0.24,0.3,0.3,2.8,0.02,0.17,0.19,0.02,0.19,Matches
171,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,25,1994,15,14,1305,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.02,0.02,0.04,0.02,0.04,Matches
172,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,32,1986,19,19,1627,7,0,6,7,6,0,0.39,0.00,0.39,0.06,0.06,5.6,0.3,1.0,0.31,0.06,0.37,0.01,0.07,Matches
173,William Troost-Ekong\William-Troost-Ekong,ng NGA,DF,Udinese,25,1993,23,23,2059,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.01,0.00,0.02,0.01,0.02,Matches
174,Nicola Murru\Nicola-Murru,it ITA,DF,Sampdoria,24,1994,22,22,1885,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.4,0.01,0.07,0.08,0.01,0.08,Matches
175,Fabio Pisacane\Fabio-Pisacane,it ITA,DF,Cagliari,33,1986,22,22,1941,1,0,0,0,6,1,0.05,0.00,0.05,0.05,0.05,0.2,0.2,0.3,0.01,0.01,0.02,0.01,0.02,Matches
176,Ștefan Radu\Stefan-Radu,ro ROU,DF,Lazio,32,1986,22,22,1864,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,0.3,0.01,0.01,0.02,0.01,0.02,Matches
177,Francesco Vicari\Francesco-Vicari,it ITA,DF,SPAL,24,1994,23,22,1947,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.01,0.00,0.01,0.01,0.01,Matches
178,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,27,1992,17,17,1492,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.01,0.01,0.02,0.01,0.02,Matches
179,Ola Aina\Ola-Aina,ng NGA,DF,Torino,22,1996,20,15,1456,0,1,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.3,0.01,0.08,0.09,0.01,0.09,Matches
180,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,22,1997,19,15,1322,0,6,0,0,7,0,0.00,0.41,0.41,0.00,0.41,0.2,0.2,2.7,0.01,0.18,0.20,0.01,0.20,Matches
181,Luca Rossettini\Luca-Rossettini,it ITA,DF,Lecce,34,1985,25,25,2216,0,2,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,1.1,0.01,0.05,0.05,0.01,0.05,Matches
182,Filippo Romagna\Filippo-Romagna,it ITA,DF,Sassuolo,22,1997,18,16,1477,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
183,Igor\Igor,br BRA,DF,SPAL,21,1998,17,15,1337,0,1,0,0,7,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,1.0,0.01,0.07,0.08,0.01,0.08,Matches
184,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,35,1984,19,19,1687,1,0,0,0,9,1,0.05,0.00,0.05,0.05,0.05,0.1,0.1,0.1,0.00,0.00,0.01,0.00,0.01,Matches
185,Aleš Matějů\Ales-Mateju,cz CZE,DF,Brescia,23,1996,20,18,1640,0,1,0,0,7,1,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.0,0.00,0.06,0.06,0.00,0.06,Matches
186,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,30,1989,26,26,2340,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
187,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,21,1997,26,26,2340,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
188,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,25,1994,26,26,2340,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
189,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,24,1995,26,26,2340,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
190,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,22,1997,25,25,2250,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
191,Pau López\Pau-Lopez,es ESP,GK,Roma,24,1994,25,25,2250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
192,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,28,1991,25,25,2250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
193,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,32,1987,25,25,2250,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
194,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,28,1991,25,25,2250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
195,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,20,1999,24,24,2121,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
196,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,24,1995,22,22,1980,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
197,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,35,1984,22,22,1980,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
198,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,26,1993,22,22,1980,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
199,Gabriel\Gabriel,br BRA,GK,Lecce,26,1992,22,22,1917,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
200,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,28,1991,21,21,1890,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
201,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,32,1987,20,20,1800,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.01,0.01,0.00,0.01,Matches
202,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,29,1990,19,19,1710,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
203,Ionuț Radu\Ionut-Radu,ro ROU,GK,Genoa,22,1997,17,17,1530,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
204,Robin Olsen\Robin-Olsen,se SWE,GK,Cagliari,29,1990,16,16,1434,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
205,Alex Meret\Alex-Meret,it ITA,GK,Napoli,22,1997,15,15,1350,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
206,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,25,1994,16,14,1248,0,1,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.8,0.00,0.05,0.06,0.00,0.06,Matches