,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2019-09-14,Sat,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,N,CM,47,30,1,6,23,3,0,29,0,0,,0,0,14,87,37,21,21,100.0,1,1,Match Report
2019-09-21,Sat,Matchweek 4,Home,W 2–1,Juventus,Hellas Verona,Y,DM,50,35,1,12,24,2,0,33,0,0,,0,0,21,74,24,23,22,95.7,1,1,Match Report
2019-09-28,Sat,Matchweek 6,Home,W 2–0,Juventus,SPAL,N,CM,14,11,2,4,4,5,0,11,0,0,,0,0,8,86,52,7,7,100.0,0,0,Match Report
2019-10-06,Sun,Matchweek 7,Away,W 2–1,Juventus,Inter,N,AMCM,29,13,0,3,8,3,1,13,0,0,,0,0,6,15,10,12,10,83.3,0,0,Match Report
2019-10-19,Sat,Matchweek 8,Home,W 2–1,Juventus,Bologna,N,CM,29,31,1,1,21,12,0,31,0,0,,0,0,23,96,27,24,22,91.7,1,0,Match Report
2019-10-26,Sat,Matchweek 9,Away,D 1–1,Juventus,Lecce,Y,CMDM,90,80,1,15,42,26,1,74,1,1,100.0,1,0,58,300,120,57,55,96.5,1,2,Match Report
2019-10-30,Wed,Matchweek 10,Home,W 2–1,Juventus,Genoa,Y,DM,90,78,2,12,38,30,0,68,1,1,100.0,1,0,52,214,113,49,47,95.9,0,0,Match Report
2019-11-02,Sat,Matchweek 11,Away,W 1–0,Juventus,Torino,Y,CM,75,43,3,9,22,15,1,40,1,1,100.0,1,0,26,166,71,28,26,92.9,1,0,Match Report
2019-11-10,Sun,Matchweek 12,Home,W 1–0,Juventus,Milan,Y,CM,90,70,2,14,40,18,1,69,1,1,100.0,1,0,42,200,91,53,46,86.8,1,4,Match Report
2019-11-23,Sat,Matchweek 13,Away,W 3–1,Juventus,Atalanta,Y,CM,57,39,5,10,22,9,1,39,0,1,0.0,0,0,27,101,51,29,24,82.8,2,0,Match Report
2019-12-01,Sun,Matchweek 14,Home,D 2–2,Juventus,Sassuolo,Y,CM,90,74,3,13,34,32,0,70,1,4,25.0,3,1,51,260,151,56,48,85.7,0,0,Match Report
2019-12-07,Sat,Matchweek 15,Away,L 1–3,Juventus,Lazio,Y,CM,40,30,1,4,22,7,1,30,3,3,100.0,3,0,25,121,42,20,19,95.0,0,1,Match Report
2019-12-15,Sun,Matchweek 16,Home,W 3–1,Juventus,Udinese,Y,DM,90,132,4,35,88,19,0,127,2,3,66.7,2,0,88,379,171,110,108,98.2,1,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,Sun,Matchweek 21,Away,L 1–2,Juventus,Napoli,Y,CMDM,90,74,1,15,53,15,0,71,0,0,,0,0,51,315,136,60,57,95.0,0,0,Match Report
2020-02-02,Sun,Matchweek 22,Home,W 3–0,Juventus,Fiorentina,Y,CM,90,84,1,7,62,21,2,81,2,3,66.7,2,0,63,289,161,78,70,89.7,0,3,Match Report
2020-02-08,Sat,Matchweek 23,Away,L 1–2,Juventus,Hellas Verona,Y,CM,81,56,1,11,38,10,1,55,2,2,100.0,2,0,41,187,83,47,40,85.1,0,1,Match Report
2020-02-16,Sun,Matchweek 24,Home,W 2–0,Juventus,Brescia,Y,DMCM,90,130,2,12,82,42,1,124,2,3,66.7,3,1,111,342,176,110,106,96.4,0,2,Match Report
2020-02-22,Sat,Matchweek 25,Away,W 2–1,Juventus,SPAL,Y,CM,90,93,1,16,72,9,0,87,1,1,100.0,1,0,60,251,139,66,65,98.5,0,0,Match Report
2020-03-08,Sun,Matchweek 26,Home,W 2–0,Juventus,Inter,Y,DM,90,72,3,23,43,15,0,67,0,0,,0,0,53,211,71,48,48,100.0,1,0,Match Report
2020-06-22,Mon,Matchweek 27,Away,W 2–0,Juventus,Bologna,Y,CMDM,90,54,3,16,30,10,1,53,0,0,,0,0,34,158,55,40,37,92.5,0,0,Match Report
2020-06-26,Fri,Matchweek 28,Home,W 4–0,Juventus,Lecce,Y,CM,67,57,2,9,26,28,2,57,1,2,50.0,1,0,43,194,100,46,44,95.7,0,1,Match Report
2020-06-30,Tue,Matchweek 29,Away,W 3–1,Juventus,Genoa,Y,CM,90,99,1,10,58,33,3,98,4,5,80.0,4,1,64,284,143,86,81,94.2,2,1,Match Report
2020-07-04,Sat,Matchweek 30,Home,W 4–1,Juventus,Torino,Y,CMDM,90,57,2,11,27,22,3,56,1,2,50.0,1,0,40,190,96,45,39,86.7,0,0,Match Report
2020-07-07,Tue,Matchweek 31,Away,L 2–4,Juventus,Milan,Y,CMDM,89,62,1,13,42,10,0,62,3,3,100.0,3,1,49,233,81,50,46,92.0,1,0,Match Report
2020-07-11,Sat,Matchweek 32,Home,D 2–2,Juventus,Atalanta,Y,CM,90,95,5,17,64,16,0,89,0,1,0.0,1,0,58,256,85,66,64,97.0,1,0,Match Report
2020-07-15,Wed,Matchweek 33,Away,D 3–3,Juventus,Sassuolo,Y,CMDM,90,56,1,16,29,12,0,52,0,0,,0,0,30,94,23,35,35,100.0,1,0,Match Report
2020-07-20,Mon,Matchweek 34,Home,W 2–1,Juventus,Lazio,Y,DM,90,74,1,14,45,19,0,69,0,0,,0,0,38,105,51,54,54,100.0,0,0,Match Report
2020-07-23,Thu,Matchweek 35,Away,L 1–2,Juventus,Udinese,Y,CM,90,90,2,14,59,20,0,85,0,1,0.0,0,0,66,185,73,76,72,94.7,0,2,Match Report
,,,,18-5-5,,,24/28,,2108,1819,53,342,1118,463,19,1740,26,38,68.4,30,4,1242,5393,2433,1396,1313,94.1,15,19,